power,step_cal(nm/mV),laser_power,stiffness
1.5,41.08,1.5,0.018
1.5,40,1.5,0.02
1.5,38.02,1.5,0.02
1.5,38.03,2,0.028
1.5,39.12,2,0.028
1.5,46.42,2,0.028
1.5,42.22,3,0.043
1.5,39.92,3,0.042
2,23.47,3,0.043
2,21.6,4,0.101
2,26.08,4,0.097
2,33.4,4,0.1
2,22.3,5,0.264
3,11.81,5,0.27
3,12.13,5,0.259
3,18.69,5,0.253
3,13.69,,
3,12.56,,
3,12.43,,
3,19.07,,
3,13.4,,
3,13.96,,
3,16.26,,
3,17.75,,
3,15.06,,
3,14.1,,
3,16.76,,
3,14.85,,
3,10.83,,
3,11.08,,
3,14.43,,
3,15.02,,
3,13.47,,
3,12.46,,
4,10.95,,
4,8.1,,
4,12.2,,
4,13.89,,
4,13.27,,
4,9.21,,
4,9.32,,
4,8.03,,
4,9.45,,
4,13.74,,
4,6.02,,
4,5.69,,
4,8.05,,
4,7.4,,
4,6.44,,
4,6.5,,
4,6.06,,
4,6.35,,
4,11.13,,
4,9.97,,
4,9.35,,
4,9.88,,
4,11.04,,
5,3.63,,
5,4.3,,
5,7.06,,
5,4.96,,
5,3.59,,
5,3.25,,
5,6.6,,
5,4.01,,
5,3.86,,
5,4.82,,
5,7.22,,
5,7.24,,
5,6.26,,
5,5.01,,
5,5.56,,
5,6.52,,
5,6.91,,
5,6.36,,
